userId,bookId,reading_date
0,332350.A_Dream_in_Polar_Fog,2015-01-20
0,187060.Auntie_Mame,2019-04-10
0,3379039-his-wedding-organizer,2019-06-30
0,33917.The_Namesake,2021-12-11
0,110694.The_Seeress_of_Kell,2020-05-29
0,34498.The_Truth,2015-06-02
0,153197.I_Sailed_with_Magellan,2020-03-22
0,6135237-south-of-broad,2015-10-23
0,28768.Eden,2021-07-06
0,2528.All_the_Names,2015-02-02
0,17212424-rahasia-sunyi,2021-07-05
0,5941.Running_in_the_Family,2018-11-14
0,7861169-bumi-cinta,2018-05-01
0,36603432-louboutins-lattes-live-tv,2022-11-09
0,1634982.The_Final_Encyclopedia,2020-09-28
0,19081403-beginnings,2015-11-19
0,59415.Terra_Nostra,2019-11-13
0,32707506-written-in-the-scars,2017-02-05
0,21915383-a-prisoner-within,2019-08-28
0,16457402-d-un-monde-l-autre,2021-05-08
0,52666531-dungeon-core-academy-1,2023-10-30
0,61666.Contact,2017-12-15
0,22124901-men-explain-things-to-me,2015-01-31
0,1118874.The_Fifth_Profession,2023-06-23
0,1612302.Starbook,2015-01-11
0,21500.The_Blue_Knight,2022-08-17
0,385530.Smonk,2020-12-11
0,1814637.Sweet_Lullaby,2014-12-14
0,372392.Briefing_for_a_Descent_Into_Hell,2024-03-23
0,246056.The_Garden_of_The_Prophet,2022-10-27
0,30047246-casto,2023-01-28
0,1370363.Silent_Fall,2023-08-25
0,9567.Half_Asleep_in_Frog_Pajamas,2020-01-10
0,161297.Schismatrix,2017-05-02
0,790967.Hypnerotomachia_Poliphili,2018-08-02
0,452268.A_Good_Day_to_Die,2023-07-02
0,105074.Jerusalem_the_Golden,2015-07-08
0,13490543-fractured,2021-07-25
0,4588.Extremely_Loud_Incredibly_Close,2020-09-20
0,6759304-model-home,2022-08-14
0,436745.Fallen_Angels,2023-10-01
0,69930.Small_World,2020-07-10
0,297551.The_Essential_Jung,2021-01-19
0,33544874-forest-dark,2022-08-27
0,101911.Vinegar_Hill,2022-10-16
0,6139012-the-halfway-house,2018-06-17
0,40209642-the-cancer-quandary,2018-11-29
0,22026.The_Sicilian,2018-05-10
0,88873.Messiah,2019-05-24
0,25200.Silence,2019-09-14
0,8844133-forgiven,2017-09-24
0,43615530-yes-no-maybe-so,2018-01-22
0,9957.The_Cement_Garden,2015-09-06
0,17950402-eternal-immortality,2024-06-20
0,31128746-god-s-promises-for-you,2020-10-10
0,36590307-unblinded,2015-06-11
0,400016.Unforgettable,2015-07-19
0,4696.The_Last_Jew,2024-01-21
0,170165.Seth_Speaks,2019-01-11
0,202881.The_Road_to_Lichfield,2016-12-03
0,52159676-palim-pariz,2019-08-23
0,52123874-undetected,2019-08-16
0,659388.Nobody_s_Fool,2018-06-10
0,1602815.Das_kupferne_Zeichen,2020-11-29
0,8542611-the-four-corners-of-the-sky,2015-06-24
0,2024336.A_Very_Yuppy_Wedding,2022-11-14
0,1249630.Os_Maias,2018-12-27
0,80634.24_Hours,2017-04-05
0,115009.Valencia,2023-05-06
0,39182872-cut-and-run,2021-03-08
0,7675.Disclosure,2020-01-29
0,174685.Archangel,2015-10-13
0,6814059-le-club-des-incorrigibles-optimistes,2020-04-08
0,854456.La_Morte_Amoureuse,2018-05-15
0,1071338.Amy_Number_Seven,2015-11-10
0,5068.Last_Orders,2022-07-02
0,18243440-unbearable,2015-10-21
0,334643.Abhorsen,2022-01-15
0,12563176,2022-08-26
0,1612302.Starbook,2022-01-06
0,131306.The_science_of_secrecy,2022-08-13
0,32990975-aqu-estoy,2016-03-28
0,17237713-the-hired-man,2024-05-03
0,393601.Hitchcock,2020-05-05
0,6781956-savor-the-moment,2016-05-15
0,23341894-every-last-word,2015-10-25
0,301820.A_Loving_Scoundrel,2015-07-21
0,53835.The_Age_of_Innocence,2020-02-06
0,65261.My_Michael,2019-09-25
0,32049.Lady_Chatterley_s_Lover,2022-08-31
0,7817785-bloody-valentine,2020-01-21
0,240950.Doctor_Who,2024-04-23
0,11740495,2018-08-07
0,48468.The_Violent_Bear_It_Away,2016-10-04
0,121490.Year_of_the_Black_Pony,2015-07-12
0,393841.Yesterday_Will_Make_You_Cry,2015-12-29
0,1232353.Set_in_Darkness,2018-02-10
0,2493.The_Time_Machine,2019-04-29
0,1464757.Edensor,2021-03-27
0,43619901-night-of-the-rat,2017-06-05
0,7718664,2015-12-20
0,1329570.Dealova,2018-02-03
0,105040.The_Radiant_Way,2019-09-28
0,5472.Animal_Farm_1984,2017-09-08
0,181858.Seek_My_Face,2019-07-31
0,70509.Absurdistan,2016-06-17
0,15735683-till-the-last-breath,2017-07-24
0,6353230-a-good-woman,2016-11-23
0,77844.The_New_Confessions,2015-05-15
0,16556.The_Infinite_Plan,2020-04-26
0,35818330-son-of-the-cursed-bear,2015-04-30
0,14748.Good_in_Bed,2020-09-24
0,62666.American_Power_and_the_New_Mandarins,2016-03-31
0,18339155-f,2017-05-12
0,8844133-forgiven,2023-09-14
0,326672.Slow_Waltz_In_Cedar_Bend,2018-09-29
0,839356.The_Wrong_Boy,2023-12-24
0,7674189-cherries-over-quicksand,2019-07-24
0,40158.The_Queen_of_Attolia,2020-08-14
0,397956.Cigarettes,2015-01-29
0,1174976.La_Louve_de_France,2019-09-21
0,906024.Blood_Crazy,2015-11-27
0,1206359.Fearless,2023-07-07
0,6041471-tautan-hati,2024-06-08
0,5854563,2019-05-26
0,16074932-beauty,2015-06-03
0,30672.Darkness_at_Noon,2015-02-26
0,46263943-real-life,2017-01-04
0,17910054-the-sixth-extinction,2021-11-26
0,21491.The_Choirboys,2020-11-20
0,3248297-kieron-smith-boy,2016-11-28
0,2041545.The_Riftwar_Saga,2019-03-12
0,24957468-til-undeath-do-us-part,2015-11-18
0,24892572-love-at-first-plight,2015-07-09
0,251648.Return_From_the_Stars,2017-12-05
0,17524166,2019-08-29
0,36692478-there-there,2020-10-27
0,6085955,2023-12-27
0,6470560,2019-11-20
0,60146.Behold_the_Man,2015-07-29
0,28369.Zazie_in_the_Metro,2018-02-26
0,156785.Diaspora,2022-09-09
0,25986670-first-blood,2021-04-17
0,9264106-what-comes-after,2024-06-18
0,116114.From_Here_to_Eternity,2024-03-22
0,24018203-the-year-of-the-frog,2023-12-28
0,2124649.Curse_of_the_Red_Cross_Ring,2023-03-12
0,570911.A_Life_in_Secrets,2016-06-08
0,441665.Tom_Strong_Book_3,2023-02-09
0,10687840-revan,2018-01-11
0,1539150.The_Clever_Boy_and_the_Terrible_Dangerous_Animal_With_CD_,2014-12-20
0,21206786-how-much-land-does-a-man-need,2019-01-12
0,46180.Julio_Cort_zar,2018-08-06
0,17251556-minimalism,2017-09-16
0,1132180.Rot,2019-07-21
0,278129.Malice,2018-08-17
0,7433963-40,2015-06-20
0,17164393-one-by-one,2019-08-13
0,312029.Solomon_Gursky_Was_Here,2014-12-25
0,34299.Victoria_Line_Central_Line,2017-02-24
0,24903989-widz-ci,2018-05-28
0,32078.Amnesia_Moon,2017-11-05
0,129947.The_Water_is_Wide,2023-12-30
0,23278280-off-the-page,2020-03-10
0,156723.Counter_Clock_World,2018-01-20
0,18683518-captivate,2019-11-05
0,5344.Hard_Times,2024-09-06
0,12265635-the-promise,2018-06-05
0,23271231-i-am-the-traitor,2019-05-18
0,3392668-audition,2020-12-06
0,647682.Faithfull,2019-06-18
0,19117.Fathers_and_Sons,2017-01-06
0,18873517-his-last-bow,2015-10-30
0,1260191.Quand_un_roi_perd_la_France,2018-04-05
0,29939353-lillian-boxfish-takes-a-walk,2021-09-05
0,17987508-matched-trilogy-box-set,2020-10-03
0,7905092-freedom,2015-05-13
