userId,bookId,rating
0,490196.Wild_Rain,3
0,78985.Sons_of_Fortune,5
0,9091814-sixteenth-summer,4
0,7491418-love-in-the-afternoon,3
0,22471294-black-lies,3
0,12026145-romero,4
0,11450360-twilight,3
0,12957.Much_Ado_About_Nothing,5
1,3980838-the-measure-of-days,1
1,5348.The_Testament,3
1,42141.Glass_Soup,4
1,24974122-the-painter-s-daughter,2
1,3250806-le-roman-bourgeois,1
1,11262424-between-the-lines,3
1,23129715-sphinx,3
1,20706293-the-daughter-of-smoke-and-bone-trilogy,5
2,6082729-1--,3
2,23982.Modoc,4
2,7405508-bcp-chapel-red,4
2,18343754-a-capitalist-in-north-korea,5
2,27530.The_Remnant,4
2,138959.Stuart_Little,4
2,6383937-shades-of-blue,1
2,66473.Toxin,2
2,207984.Solomon_vs_Lord,1
2,13230186-crying-for-help,4
2,715058.The_Life_and_Adventures_of_Santa_Claus,3
2,8362878-sun-stand-still,5
3,21895563-attack-on-titan-vol-12,2
3,238479.A_Taste_of_Sin,4
3,15777797-truth-or-dare,1
3,1450982.Whispers_at_Midnight,4
3,11492014-fractured,3
3,22297173-mirage,2
3,23587984-maybe-not,5
3,146492.Summer_Boys,4
3,1830755.Mine_to_Possess,5
3,23173009-ashburn,3
3,2679060-ludwig-revolution-vol-1,3
4,49856452-the-boy-lost-in-a-world,1
4,819535.The_Legend_of_The_Holy_Drinker,4
4,6033289,1
4,7933002-baxter-the-pig-who-wanted-to-be-kosher,3
4,7303068-hard-magic,3
4,18114322-the-grapes-of-wrath,4
4,7205214-assassin-s-creed,3
4,217086.Away,4
4,1016600.La_Part_de_l_autre,3
4,7997987-vampire-mine,5
4,6324914-homer-langley,3
5,10239677-diary-of-a-mad-fat-girl,4
5,514592.Solution_Selling,4
5,29430049-paris-for-one-and-other-stories,4
5,1070529.The_Wicker_Man,3
5,23206497-fighting-silence,2
5,17331327-l-a-son,5
5,12453610-january-first,3
5,1541856.Rivals,3
5,239745.See_How_They_Run,3
5,123700.Carnivorous_Nights,3
5,12946782-hurt,3
5,9864913-jaya,1
5,6071049-the-cartoon-history-of-the-modern-world-part-2,4
6,10562163-children-on-their-birthdays,5
6,18300289-hannibal,2
6,5937.Love,4
6,2888910-catatan-hati-di-setiap-sujudku,3
6,451063.Nightlife,3
6,10783094-dating-a-cougar,2
6,119390.If_You_Meet_the_Buddha_on_the_Road_Kill_Him,1
6,18231367-surrender-to-fate,1
6,289797.Munich_Signature,4
6,6048944-warum-ich-euch-belogen-habe,1
6,797635.The_Palace_of_Dreams,4
7,18664167-mind-games,4
7,6920820-shadow-hills,2
7,589979.Daughter_of_the_Empire,1
7,1700436.A_Question_of_Blood,4
7,3934321-nightfall,4
7,906318.Mrs_Jeffries_and_the_Silent_Knight,4
7,689010.Afternoon_of_an_Autocrat,3
7,11072703-the-ten-teacups,4
7,13382965-alpha-s-mate,4
7,25067570-evil-games,4
7,3899465-sent,4
7,22523971-nejma,1
7,3431100-wizard-at-large,3
7,12567576-monster-behind-the-wheel,1
8,20650678-unmasked,3
8,23940.Junky,4
8,17308035-norwegian-wood,5
8,23848300-the-violinist-of-venice,4
8,25587068-the-life,4
8,173403.Walking_in_This_World,1
8,881649.Refuge,4
8,352769.Oliver_Twist_Great_Expectations_A_Tale_of_Two_Cities,4
8,50274.The_Room,2
8,172732.The_Motorcycle_Diaries,3
8,34282.Deep_Secret,2
8,17487.Five_Go_Adventuring_Again,5
8,53138081-the-four-winds,4
8,35924705-herding-cats,4
8,148422.Jefferson,1
9,16177185-the-hogwarts-library,4
9,16127238-letters-from-skye,3
9,31546142-branding-the-virgin,4
9,35830464-kolonel-chabert,2
9,15748545-la-noche-en-que-frankenstein-ley-el-quijote,4
9,32997808-stealing-christmas,4
9,36097619-the-tuscan-child,4
9,842712.Highways_to_a_War,5
9,586992.The_Passion_of_the_Western_Mind,3
10,425100.Dance_Hall_of_the_Dead,5
10,13122090-tears-of-the-broken,4
10,9031163-damned,4
10,13633766-chiamate-telefoniche,1
10,11547894-shadow-s-fall,4
10,4961048-wishful-drinking,1
11,405980.Forty_Stories,4
11,103796.Les_Mains_sales,5
11,1621010.The_Devoted_Friend,3
11,2425048.The_Bloody_Shirt,1
11,195144.Fanny_Hill_or_Memoirs_of_a_Woman_of_Pleasure,4
11,6796621--,4
11,8719665,1
11,696991.The_Secret_in_the_Old_Lace,4
11,19417.Absolutely_Normal_Chaos,1
11,49951858-suddenly-psychic,2
12,173745.The_House_of_Rothschild_Vol_1,2
12,36236125-invisible-monsters,3
12,12093000-the-cahokian,2
12,38876.Once_An_Eagle,4
12,6950451-nothing-but-trouble,5
12,504420.Protect_and_Defend,1
13,228244.This_Way_for_the_Gas_Ladies_and_Gentlemen,1
13,38720939-a-very-large-expanse-of-sea,1
13,12190308-the-innocents,3
13,14061520-stars-stripes,2
13,17883157-curvaceous-condemnation,2
13,8269450-darkest-powers-trilogy,5
13,23348129-uncertain-magic,3
13,10801.The_Big_Rock_Candy_Mountain,3
13,10751324-sapphire-battersea,1
13,16065950,2
14,252460.Hasidism,4
14,52560.Soldier_s_Heart,4
14,3002300-chains,3
14,13013083-yaban-k-zlar,1
14,2606779-one-minute-to-midnight,5
14,109243.Swamp_Thing_Vol_4,2
14,283689.Bible_Doctrine,4
14,28666778-le-g-nie-de-l-islam,4
14,116356.Footfall,3
14,77430.Master_and_Commander,3
14,13574710-the-curiosities,4
15,284429.The_Last_Empire,4
15,77507.Red_Mars,2
15,7419758-the-terrible-privacy-of-maxwell-sim,3
15,18242099-shattered-by-fate,2
15,23183.The_Book_of_Questions,4
15,1059928.Putting_Jesus_in_His_Place,4
15,1228814.Faction_Paradox,2
